src_id,dst_id,wire_cap_ff,wire_length_um,is_critical
0,38,115.58,486.4,0
0,16,55.55,223.58,0
1,24,54.04,315.13,0
1,42,31.63,189.44,0
2,0,12.09,78.71,0
2,64,66.2,291.23,0
3,95,33.68,354.86,0
3,18,15.26,172.64,0
3,19,69.77,429.05,0
3,55,57.23,400.49,0
4,21,59.8,308.9,0
4,1,41.81,257.97,1
4,9,7.83,71.88,1
5,68,14.56,77.36,0
5,6,10.28,43.91,0
5,34,9.79,107.03,0
6,49,40.77,325.38,0
6,64,68.07,303.81,0
7,33,43.92,259.15,0
7,57,32.98,197.75,0
7,12,5.83,34.14,0
8,64,62.54,349.41,0
8,11,67.94,324.36,0
8,18,48.75,377.52,0
9,50,76.02,416.53,0
9,61,7.04,53.82,1
9,23,71.92,306.38,0
9,77,68.85,422.39,0
9,36,14.07,99.69,1
10,30,42.43,214.66,0
10,75,6.41,74.4,0
10,92,18.58,148.28,0
10,21,48.21,482.1,0
11,70,47.21,443.54,0
11,36,57.16,237.55,0
11,2,23.5,177.1,0
11,68,21.58,166.12,0
12,18,86.33,347.86,0
12,24,32.34,229.19,0
12,31,27.51,134.29,0
12,63,5.23,38.03,0
12,59,4.72,38.64,0
12,87,19.65,174.69,0
13,80,38.07,286.79,0
13,36,12.01,146.11,0
14,50,16.43,102.33,0
14,12,78.18,341.05,0
14,7,3.07,21.22,0
15,65,5.07,26.9,0
15,47,65.15,326.71,0
15,76,6.54,36.88,0
15,42,38.08,165.68,0
16,2,17.67,199.81,0
16,25,10.09,96.2,0
17,0,40.18,303.96,0
17,2,39.91,331.72,0
17,39,18.19,108.75,0
18,35,71.54,335.51,0
18,95,6.18,41.18,0
18,33,16.34,203.63,0
18,54,46.83,289.27,0
18,21,0.83,9.23,0
18,26,43.29,337.32,0
19,38,48.31,198.1,0
19,29,29.51,163.49,0
20,83,36.64,363.11,0
20,93,7.7,84.76,0
20,38,16.44,77.38,0
21,94,81.24,356.05,0
21,39,70.79,432.31,0
22,40,82.74,460.82,0
22,33,0.8,5.72,0
22,77,54.74,276.06,0
22,25,107.61,493.58,0
23,92,46.85,189.47,0
23,83,51.52,470.64,0
23,52,4.32,37.78,0
23,41,42.46,203.65,0
23,9,30.41,134.45,0
24,36,20.77,117.19,0
24,85,27.43,145.35,0
24,81,96.18,461.82,0
25,44,74.84,452.7,0
25,84,31.17,227.78,0
25,34,42.27,269.67,0
25,20,47.23,317.33,0
25,29,28.48,326.29,0
26,88,37.18,329.9,0
26,34,18.31,93.5,0
26,47,57.87,298.87,0
27,74,59.01,352.24,0
27,38,50.37,485.74,0
27,9,39.38,266.79,0
28,41,65.95,440.22,0
28,35,48.73,425.7,0
28,7,79.02,463.12,0
28,69,91.96,453.31,0
28,24,27.06,263.81,0
29,6,33.34,158.15,0
29,24,16.99,114.78,0
29,71,13.07,124.06,0
30,76,52.89,243.33,0
30,74,34.38,224.65,0
30,55,71.05,307.65,0
31,6,1.01,6.37,0
31,52,10.79,105.57,0
32,3,61.83,484.9,0
32,73,78.68,364.8,0
32,79,20.28,140.49,0
33,73,3.49,36.83,0
33,67,1.64,19.05,0
33,40,29.22,204.73,0
34,91,94.96,468.39,0
34,65,1.37,5.72,0
34,66,26.46,218.8,0
34,28,70.42,345.22,0
35,13,44.86,258.53,0
35,20,29.84,168.81,0
36,89,94.88,393.56,0
36,8,87.47,371.44,0
36,56,30.81,132.58,0
37,21,46.12,185.96,0
37,16,50.14,264.0,0
37,57,56.92,267.53,0
37,80,14.51,132.2,0
38,5,76.77,411.04,0
38,26,2.12,16.64,0
38,86,18.02,82.56,0
39,81,58.41,234.16,0
39,13,52.35,346.64,0
40,61,33.64,211.21,0
40,76,79.52,342.36,0
40,0,44.6,367.81,0
40,64,50.62,408.03,0
40,86,32.22,314.44,0
40,6,24.73,278.53,0
41,37,101.78,444.68,0
41,11,75.88,412.66,0
41,47,11.9,102.32,0
41,79,74.25,337.55,0
41,45,74.13,347.56,0
42,35,74.76,443.3,0
42,83,38.01,282.48,0
43,46,1.24,5.56,0
43,85,15.89,118.55,0
43,86,33.72,384.4,0
43,81,76.81,375.26,0
43,24,23.9,189.93,0
44,80,27.0,290.62,0
44,87,28.99,230.96,0
45,73,30.62,233.83,0
45,48,47.79,277.93,0
45,16,94.88,497.8,0
45,88,24.39,139.64,0
45,52,28.79,206.76,0
45,75,77.84,333.1,0
46,5,60.79,349.29,0
46,27,54.99,391.51,0
46,15,91.58,478.05,0
46,88,5.53,36.42,0
46,84,46.01,189.06,0
47,92,15.14,69.24,0
47,87,30.91,128.76,0
47,58,3.08,19.19,0
47,85,13.47,122.55,0
47,18,5.99,37.02,0
47,86,16.58,66.91,0
48,73,12.1,82.18,0
48,42,49.58,264.77,0
48,4,28.35,114.76,0
48,78,33.47,315.13,0
48,93,65.32,318.41,0
48,80,38.9,336.58,0
49,26,46.74,350.62,0
49,80,29.2,141.27,0
49,58,56.59,476.94,0
49,13,61.79,466.01,0
49,47,11.45,134.15,0
49,34,23.64,213.74,0
50,35,39.5,203.27,0
50,12,9.44,76.74,0
50,40,34.83,361.66,0
50,49,24.75,181.14,0
50,16,50.6,210.85,0
51,52,23.66,103.61,0
51,62,1.48,6.68,0
51,37,61.51,470.24,0
52,19,38.71,235.13,0
52,82,84.52,359.92,0
